Date, Prices (EUR_MWh), Generation forecast (FR), System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Grid load forecast (BE) (MW)
2015-01-01 01:00,51.93,75492,71469,666,10130
2015-01-01 02:00,48.76,74394,69642,701,9675
2015-01-01 03:00,42.27,72639,66704,729,9245
2015-01-01 04:00,38.41,69347,65051,755,8973
2015-01-01 05:00,35.72,67960,62855,781,8807
2015-01-01 06:00,32.66,67564,62470,806,8767
2015-01-01 07:00,32.83,67277,64086,832,8685
2015-01-01 08:00,30.06,67019,64541,863,8635
2015-01-01 09:00,29.24,67846,63585,896,8889
2015-01-01 10:00,37.54,70274,65564,936,9296
2015-01-01 11:00,41.19,71975,66642,966,9693
2015-01-01 12:00,44.69,74395,67618,980,10027
2015-01-01 13:00,39.77,73458,69286,987,10084
2015-01-01 14:00,33.29,71382,64608,996,9967
2015-01-01 15:00,32.47,68812,61660,1034,9852
2015-01-01 16:00,34.73,68954,61270,1095,9832
2015-01-01 17:00,40.95,72468,64215,1163,10269
2015-01-01 18:00,51.25,76228,70227,1244,10746
2015-01-01 19:00,52.55,79480,72834,1325,10758
2015-01-01 20:00,49.55,79199,73233,1398,10588
2015-01-01 21:00,46.31,77448,71265,1445,10400
2015-01-01 22:00,48.75,77909,68772,1488,10574
2015-01-01 23:00,47.59,76777,73055,1527,10896
2015-01-02 00:00,38.8,73652,71247,1557,9730
2015-01-02 01:00,36.73,71874,66693,1602,8994
2015-01-02 02:00,33.52,71196,66725,1610,8489
2015-01-02 03:00,27.5,68045,63084,1619,8208
2015-01-02 04:00,22.84,66880,61337,1632,8152
2015-01-02 05:00,26.1,66922,60231,1631,8418
2015-01-02 06:00,27.17,68235,63232,1616,9224
2015-01-02 07:00,33.33,70871,65498,1596,10259
2015-01-02 08:00,42.06,74625,68186,1552,11114
2015-01-02 09:00,46.13,77325,70152,1483,11010
2015-01-02 10:00,44.05,77816,71495,1427,10674
2015-01-02 11:00,45.3,78185,71135,1357,10575
2015-01-02 12:00,48.64,79458,70865,1272,10632
2015-01-02 13:00,44.87,78259,72639,1194,10533
2015-01-02 14:00,41,76170,68957,1134,10376
2015-01-02 15:00,39.78,74355,66287,1117,10240
2015-01-02 16:00,39.73,73693,65172,1097,10266
2015-01-02 17:00,50.24,76272,67610,1071,10843
2015-01-02 18:00,54.1,78940,72133,1041,11142
2015-01-02 19:00,53.13,80550,74786,1017,10805
2015-01-02 20:00,48.81,78528,72777,971,10233
2015-01-02 21:00,42.99,75958,69294,882,9714
2015-01-02 22:00,48.76,75008,67372,792,9625
2015-01-02 23:00,48.45,75410,71699,687,9969
2015-01-03 00:00,46.97,73980,69805,566,9481
2015-01-03 01:00,43.27,71309,65463,632,9689
2015-01-03 02:00,41.76,70103,66061,586,9317
2015-01-03 03:00,37.54,67577,62638,602,8907
2015-01-03 04:00,32.99,66894,60446,623,8739
2015-01-03 05:00,31.24,67495,59414,622,8619
2015-01-03 06:00,36.71,68730,60970,621,8765
2015-01-03 07:00,39.47,69504,63129,626,8876
2015-01-03 08:00,44.51,71533,65591,661,9421
2015-01-03 09:00,44.45,73491,66547,739,9969
2015-01-03 10:00,45.01,75496,68661,820,10370
2015-01-03 11:00,45.36,76609,69424,830,10635
2015-01-03 12:00,45.6,77706,70401,732,10847
2015-01-03 13:00,44.96,77500,71190,663,10751
2015-01-03 14:00,42.44,74005,66000,650,10511
2015-01-03 15:00,39.94,71775,62666,707,10423
2015-01-03 16:00,42.44,71576,61189,740,10425
2015-01-03 17:00,53.1,75593,62085,763,11213
2015-01-03 18:00,49.82,77675,67215,822,11655
2015-01-03 19:00,47.62,77508,68739,866,11377
2015-01-03 20:00,43.79,75506,66734,838,10857
2015-01-03 21:00,42.44,72883,64515,692,10412
2015-01-03 22:00,42.03,72926,62554,547,10280
2015-01-03 23:00,40.91,73070,67342,462,10745
2015-01-04 00:00,36.26,68997,66016,481,10281
2015-01-04 01:00,32.28,66398,61071,519,9250
2015-01-04 02:00,27.63,65720,60970,515,8642
2015-01-04 03:00,27.03,62539,57163,481,8379
2015-01-04 04:00,27.04,61219,54428,467,8112
2015-01-04 05:00,27.19,61110,53019,445,8033
2015-01-04 06:00,27.13,61847,53458,395,8082
2015-01-04 07:00,27.06,63645,54722,348,8058
2015-01-04 08:00,27.63,65178,56556,306,8422
2015-01-04 09:00,34.54,67483,57450,273,8910
2015-01-04 10:00,36.7,69998,60674,250,9584
2015-01-04 11:00,37.14,72580,62614,233,9994
2015-01-04 12:00,42.55,73320,64797,211,10369
2015-01-04 13:00,38.34,72886,67239,181,10305
2015-01-04 14:00,37,69971,61667,153,9984
2015-01-04 15:00,36.87,68075,58875,128,9842
2015-01-04 16:00,40,68000,57873,103,9755
2015-01-04 17:00,53.1,72373,59294,99,10500
2015-01-04 18:00,54.35,76549,65413,125,11070
2015-01-04 19:00,51.57,79176,70139,147,11044
2015-01-04 20:00,49.99,77789,70074,168,10728
2015-01-04 21:00,41.18,75224,68288,188,10273
2015-01-04 22:00,44.79,74633,65999,208,10172
2015-01-04 23:00,42.96,76232,69824,232,10388
2015-01-05 00:00,36.56,70325,67804,253,9747
2015-01-05 01:00,34.94,67952,62634,272,9560
2015-01-05 02:00,32.19,67978,63651,311,9086
2015-01-05 03:00,28.05,65935,60408,376,8783
2015-01-05 04:00,28.04,65392,58281,433,8654
2015-01-05 05:00,34.26,66405,60024,465,8873
2015-01-05 06:00,44.28,72391,63741,449,9796
2015-01-05 07:00,50.38,78434,71813,430,10609
2015-01-05 08:00,53.79,80527,77826,426,11037
2015-01-05 09:00,52.03,81216,78809,439,11304
2015-01-05 10:00,50.6,82208,79730,454,11458
2015-01-05 11:00,50.5,82398,79830,452,11587
2015-01-05 12:00,48.45,82208,80604,417,11632
2015-01-05 13:00,44.54,81305,80521,378,11622
2015-01-05 14:00,42,80346,76491,349,11542
2015-01-05 15:00,43.1,79679,74308,334,11502
2015-01-05 16:00,46.7,79516,73139,321,11503
2015-01-05 17:00,56.78,83024,74156,322,12245
2015-01-05 18:00,58.84,85228,81005,336,12715
2015-01-05 19:00,53.6,86750,85195,349,12359
2015-01-05 20:00,46.9,83202,82556,356,11682
2015-01-05 21:00,44.58,80126,77392,352,11085
2015-01-05 22:00,48.7,78798,73558,349,11007
2015-01-05 23:00,46.06,79855,76611,345,11351
2015-01-06 00:00,45.56,76676,73171,346,10881
2015-01-06 01:00,40.28,75079,67115,295,9913
2015-01-06 02:00,39.2,74401,67008,289,9370
2015-01-06 03:00,36.22,72354,64116,295,9015
2015-01-06 04:00,34.04,71382,62565,299,8974
2015-01-06 05:00,38.58,73337,63431,305,9202
2015-01-06 06:00,43.32,77570,66889,318,9870
2015-01-06 07:00,50,82322,75018,337,10537
2015-01-06 08:00,49.53,84811,81774,355,11214
2015-01-06 09:00,50.87,85858,81068,361,11583
2015-01-06 10:00,50.86,85803,80621,367,11868
2015-01-06 11:00,50.17,85363,79719,375,11919
2015-01-06 12:00,47.97,85266,79651,377,12003
2015-01-06 13:00,45.2,83972,79751,369,12044
2015-01-06 14:00,41.45,82876,76656,383,11966
2015-01-06 15:00,40.08,81666,74163,438,11942
2015-01-06 16:00,43.62,81066,74139,493,11862
2015-01-06 17:00,48.55,84028,74956,548,12478
2015-01-06 18:00,52.32,86776,80094,606,12785
2015-01-06 19:00,53.1,87887,83465,665,12428
2015-01-06 20:00,48.78,84698,80915,713,11818
2015-01-06 21:00,43.91,81498,75052,725,11212
2015-01-06 22:00,44.58,80467,72079,729,11075
2015-01-06 23:00,45.73,80992,75125,695,11432
2015-01-07 00:00,40,76880,73168,593,10977
2015-01-07 01:00,36.69,74358,68322,616,10338
2015-01-07 02:00,37.45,73306,68500,529,9840
2015-01-07 03:00,32.08,70805,65218,458,9556
2015-01-07 04:00,29.48,70104,63194,400,9464
2015-01-07 05:00,34.94,71954,63246,347,9782
2015-01-07 06:00,41.74,76768,66940,306,10818
2015-01-07 07:00,49.17,82733,74624,265,11934
2015-01-07 08:00,54.44,86577,79131,265,12480
2015-01-07 09:00,50.99,86620,80901,331,12726
2015-01-07 10:00,50,87398,81264,399,12885
2015-01-07 11:00,51.22,87237,79949,456,12873
2015-01-07 12:00,50.15,87103,81163,498,12796
2015-01-07 13:00,51.46,86632,80954,543,12818
2015-01-07 14:00,50.88,85437,78302,596,12656
2015-01-07 15:00,48,84146,74490,666,12626
2015-01-07 16:00,47.14,83023,73371,736,12610
2015-01-07 17:00,51.07,84537,73532,823,13100
2015-01-07 18:00,52.46,86737,78750,934,13281
2015-01-07 19:00,48.78,87361,81437,1042,12881
2015-01-07 20:00,47.45,84574,78673,1129,12290
2015-01-07 21:00,42.02,81820,73210,1183,11583
2015-01-07 22:00,45.57,80363,68967,1241,11259
2015-01-07 23:00,45.6,81362,72019,1300,11561
2015-01-08 00:00,43.88,78973,70173,1353,10823
2015-01-08 01:00,35.65,76353,67435,1341,10546
2015-01-08 02:00,35.87,76062,67623,1374,10101
2015-01-08 03:00,30.17,73532,64562,1399,9757
2015-01-08 04:00,24.54,73019,63116,1428,9698
2015-01-08 05:00,32,73017,62891,1452,10021
2015-01-08 06:00,40.96,78897,66366,1464,11007
2015-01-08 07:00,49.53,85260,74926,1471,12076
2015-01-08 08:00,48.07,87455,80525,1465,12402
2015-01-08 09:00,48.75,87699,79723,1449,12496
2015-01-08 10:00,49.29,88139,77856,1424,12550
2015-01-08 11:00,49.33,88731,76089,1400,12660
2015-01-08 12:00,48.43,88572,76531,1377,12567
2015-01-08 13:00,47.21,88118,75652,1362,12622
2015-01-08 14:00,51.4,86395,72924,1348,12512
2015-01-08 15:00,40.5,84390,70745,1271,12467
2015-01-08 16:00,41.1,84121,70270,1224,12379
2015-01-08 17:00,54.5,85971,71512,1153,12793
2015-01-08 18:00,51.25,87402,76209,1032,13285
2015-01-08 19:00,50.31,87139,78146,904,12891
2015-01-08 20:00,47.97,84044,74681,855,12261
2015-01-08 21:00,40.5,81092,69308,930,11655
2015-01-08 22:00,43.8,79308,64596,997,11613
2015-01-08 23:00,44.05,79577,68364,1037,11831
2015-01-09 00:00,32.28,77770,66564,1077,11183
2015-01-09 01:00,29.71,74821,61272,1194,10597
2015-01-09 02:00,28.97,74395,61065,1262,10149
2015-01-09 03:00,25.12,70779,57726,1342,9806
2015-01-09 04:00,25.46,70067,55329,1421,9742
2015-01-09 05:00,25.84,71372,56210,1496,10047
2015-01-09 06:00,31.86,76828,60703,1549,11017
2015-01-09 07:00,44,82623,68320,1597,12106
2015-01-09 08:00,45.82,85369,72907,1627,12453
2015-01-09 09:00,47.16,85611,72352,1650,12536
2015-01-09 10:00,42.52,84988,71171,1676,12575
2015-01-09 11:00,43,84789,70138,1679,12679
2015-01-09 12:00,41.01,84155,69190,1654,12562
2015-01-09 13:00,40,83061,69484,1628,12607
2015-01-09 14:00,39.94,80873,66560,1606,12493
2015-01-09 15:00,39.96,78821,64705,1587,12428
2015-01-09 16:00,39.96,78750,63080,1574,12269
2015-01-09 17:00,52.44,79505,63555,1554,12652
2015-01-09 18:00,41,82205,67970,1515,13073
2015-01-09 19:00,38.95,82399,69738,1518,12627
2015-01-09 20:00,36.51,79353,65600,1597,12046
2015-01-09 21:00,34.6,75975,61997,1645,11459
2015-01-09 22:00,31.09,74522,59037,1693,11640
2015-01-09 23:00,29.46,76102,61947,1723,12048
2015-01-10 00:00,25.88,72138,60118,1722,11224
2015-01-10 01:00,25.78,69129,55031,1714,9786
2015-01-10 02:00,25.5,68170,54804,1723,9272
2015-01-10 03:00,25.34,65190,51298,1719,8870
2015-01-10 04:00,25.24,64399,48717,1714,8709
2015-01-10 05:00,21.6,63504,48198,1704,8711
2015-01-10 06:00,11.76,63704,49871,1686,9018
2015-01-10 07:00,29.39,66027,51359,1648,9377
2015-01-10 08:00,32.32,68609,53404,1592,9931
2015-01-10 09:00,39.64,69644,54805,1578,10432
2015-01-10 10:00,47.01,71202,57654,1589,10778
2015-01-10 11:00,51.05,71697,58583,1595,10887
2015-01-10 12:00,52.58,72874,59978,1601,11009
2015-01-10 13:00,48.61,71902,61741,1638,10803
2015-01-10 14:00,35.76,69184,57222,1688,10548
2015-01-10 15:00,36.17,67980,54489,1695,10425
2015-01-10 16:00,39.94,67398,53805,1675,10403
2015-01-10 17:00,47.04,68500,54842,1611,11059
2015-01-10 18:00,59.94,72619,60768,1475,11355
2015-01-10 19:00,42,73774,62895,1335,11033
2015-01-10 20:00,35.42,71688,59974,1221,10548
2015-01-10 21:00,35,68970,56944,1155,10093
2015-01-10 22:00,34.96,67991,54454,1093,9884
2015-01-10 23:00,32.91,69798,59042,1063,10303
2015-01-11 00:00,26.95,68178,58219,1078,9876
2015-01-11 01:00,24.22,66169,54139,1252,9392
2015-01-11 02:00,27.08,64295,53845,1276,8928
2015-01-11 03:00,23.44,61598,49989,1311,8614
2015-01-11 04:00,23.56,59503,47569,1347,8360
2015-01-11 05:00,23.91,60685,46411,1390,8360
2015-01-11 06:00,23.9,61697,47103,1445,8501
2015-01-11 07:00,17.21,62933,48283,1502,8627
2015-01-11 08:00,25.08,64412,49770,1536,8988
2015-01-11 09:00,25.96,67078,50656,1536,9479
2015-01-11 10:00,28.83,69335,54161,1552,9964
2015-01-11 11:00,32.43,71487,56690,1585,10298
2015-01-11 12:00,31.8,72884,59336,1593,10572
2015-01-11 13:00,31,72253,62078,1599,10429
2015-01-11 14:00,31,68555,56835,1585,9981
2015-01-11 15:00,31,66995,54342,1540,9914
2015-01-11 16:00,30,66199,53529,1493,9857
2015-01-11 17:00,45,68149,55300,1462,10481
2015-01-11 18:00,50,72548,61972,1463,10938
2015-01-11 19:00,42,75825,65903,1470,10910
2015-01-11 20:00,36.08,74925,64433,1491,10634
2015-01-11 21:00,34.06,73199,62270,1520,10143
2015-01-11 22:00,33,73304,59840,1550,9868
2015-01-11 23:00,32.19,73950,63551,1571,10137
2015-01-12 00:00,27.59,70627,62232,1580,9735
2015-01-12 01:00,26.81,68860,58184,1508,9372
2015-01-12 02:00,25.75,68005,58926,1515,9020
2015-01-12 03:00,25.77,66338,55448,1522,8787
2015-01-12 04:00,19.91,66124,53366,1528,8894
2015-01-12 05:00,19.84,67889,54716,1546,9361
2015-01-12 06:00,33.98,73473,58914,1583,10400
2015-01-12 07:00,45.51,80114,66915,1619,11271
2015-01-12 08:00,48.06,83132,72292,1643,11659
2015-01-12 09:00,46.2,84036,72511,1661,11932
2015-01-12 10:00,45,84311,72780,1663,12202
2015-01-12 11:00,45.38,84248,72547,1646,12302
2015-01-12 12:00,42.49,84443,72998,1636,12323
2015-01-12 13:00,41.53,83466,73468,1634,12285
2015-01-12 14:00,39,81064,69718,1639,12251
2015-01-12 15:00,39,79103,67472,1655,12181
2015-01-12 16:00,39.94,78243,66191,1649,12156
2015-01-12 17:00,48,80172,67458,1678,12529
2015-01-12 18:00,47.89,83334,73221,1671,13094
2015-01-12 19:00,48.42,84843,76878,1661,12676
2015-01-12 20:00,41.89,81496,73505,1655,12128
2015-01-12 21:00,37.88,78860,68538,1658,11505
2015-01-12 22:00,37.44,78136,64749,1657,11093
2015-01-12 23:00,35,78483,67784,1659,11172
2015-01-13 00:00,33.04,76288,65066,1670,10466
2015-01-13 01:00,26.56,73871,60518,1691,9563
2015-01-13 02:00,26.29,73732,60474,1694,9079
2015-01-13 03:00,25.04,72168,57222,1694,8813
2015-01-13 04:00,24.99,71151,55396,1683,8740
2015-01-13 05:00,25.39,72160,56329,1654,9028
2015-01-13 06:00,33.78,77458,59907,1611,10186
2015-01-13 07:00,44.94,83167,68283,1589,11310
2015-01-13 08:00,49.04,85231,74214,1581,11884
2015-01-13 09:00,49.64,85360,73594,1528,11961
2015-01-13 10:00,55.95,85086,73168,1482,12036
2015-01-13 11:00,60.01,84885,72471,1474,12099
2015-01-13 12:00,46.04,84747,72582,1472,12112
2015-01-13 13:00,49.74,83588,73107,1449,12153
2015-01-13 14:00,44.89,81760,69949,1389,12076
2015-01-13 15:00,47.93,80092,67572,1288,12051
2015-01-13 16:00,46.98,80302,67183,1192,12073
2015-01-13 17:00,54.94,81843,68216,1119,12679
2015-01-13 18:00,49.22,84444,73024,1123,13007
2015-01-13 19:00,46.38,84257,76033,1130,12582
2015-01-13 20:00,42.44,81823,73181,1172,11958
2015-01-13 21:00,34.06,78283,67791,1277,11265
2015-01-13 22:00,33.97,76802,64761,1378,10980
2015-01-13 23:00,31.39,77386,67737,1445,11247
2015-01-14 00:00,34.58,76224,66028,1462,10517
2015-01-14 01:00,29.67,73748,60860,1388,10236
2015-01-14 02:00,27.49,73453,60990,1403,9757
2015-01-14 03:00,26.13,70169,57768,1410,9493
2015-01-14 04:00,25.98,69694,55854,1420,9422
2015-01-14 05:00,28.45,71503,56316,1417,9707
2015-01-14 06:00,34.78,76557,60643,1393,10690
2015-01-14 07:00,48,82374,68882,1364,11837
2015-01-14 08:00,47.79,84719,73987,1357,12572
2015-01-14 09:00,48.14,84732,74841,1382,12725
2015-01-14 10:00,45.5,84921,74476,1410,12812
2015-01-14 11:00,45.03,85000,73686,1435,12791
2015-01-14 12:00,45.5,84993,74395,1451,12700
2015-01-14 13:00,40.81,83856,74639,1448,12725
2015-01-14 14:00,42.04,81818,71756,1398,12549
2015-01-14 15:00,38.94,80409,68830,1271,12526
2015-01-14 16:00,41.15,79711,67678,1134,12509
2015-01-14 17:00,50,81869,68793,1040,12915
2015-01-14 18:00,50.99,84416,74090,1066,13158
2015-01-14 19:00,50.94,85435,76771,1122,12720
2015-01-14 20:00,44.99,82222,73363,1180,12130
2015-01-14 21:00,38.62,79531,68501,1273,11422
2015-01-14 22:00,39.54,78367,64756,1365,11126
2015-01-14 23:00,38.92,79113,67783,1449,11375
2015-01-15 00:00,30.44,76707,65816,1495,10734
2015-01-15 01:00,24.91,74055,61939,1500,10167
2015-01-15 02:00,25.49,73538,62011,1488,9664
2015-01-15 03:00,25.43,71057,58712,1470,9440
2015-01-15 04:00,25.47,69794,57027,1455,9392
2015-01-15 05:00,19.07,71501,57176,1441,9676
2015-01-15 06:00,32.33,76850,61161,1434,10600
2015-01-15 07:00,50.66,83093,69260,1428,11672
2015-01-15 08:00,49.01,85744,74683,1444,12314
2015-01-15 09:00,51.64,85075,74040,1497,12383
2015-01-15 10:00,51.1,85452,72996,1550,12476
2015-01-15 11:00,55.96,85464,72319,1594,12547
2015-01-15 12:00,51.68,85045,72694,1649,12487
2015-01-15 13:00,55.28,83759,72460,1710,12491
2015-01-15 14:00,55.12,82335,68883,1701,12391
2015-01-15 15:00,52.67,80259,67167,1684,12266
2015-01-15 16:00,44.94,80142,66142,1664,12284
2015-01-15 17:00,66.1,81790,67929,1626,12601
2015-01-15 18:00,50.45,85291,73285,1565,12910
2015-01-15 19:00,49.47,86145,75636,1506,12501
2015-01-15 20:00,42.98,82775,71861,1447,11974
2015-01-15 21:00,38,78981,66924,1399,11349
2015-01-15 22:00,35.65,77795,62759,1357,11054
2015-01-15 23:00,34.75,78259,66300,1327,11327
2015-01-16 00:00,35.95,72902,64277,1319,10689
2015-01-16 01:00,30.86,70093,59065,1390,10035
2015-01-16 02:00,29.47,69655,59062,1382,9564
2015-01-16 03:00,24.8,67890,55770,1359,9308
2015-01-16 04:00,25.4,66954,53872,1322,9218
2015-01-16 05:00,29.58,67828,54786,1270,9550
2015-01-16 06:00,39.73,72311,59429,1184,10459
2015-01-16 07:00,49.49,79168,66439,1082,11491
2015-01-16 08:00,50.71,82673,72131,967,12241
2015-01-16 09:00,48.98,82806,71513,864,12293
2015-01-16 10:00,50.54,82862,71730,778,12405
2015-01-16 11:00,49.76,83158,72056,721,12462
2015-01-16 12:00,48.43,83382,71897,700,12431
2015-01-16 13:00,46.17,83274,71998,660,12300
2015-01-16 14:00,44.99,82017,69104,607,12093
2015-01-16 15:00,44.05,81774,67409,518,11813
2015-01-16 16:00,47.1,82538,65976,434,11823
2015-01-16 17:00,52.49,84294,67884,388,12062
2015-01-16 18:00,53.54,86415,73099,401,12395
2015-01-16 19:00,48.02,84907,75405,418,11921
2015-01-16 20:00,41.51,81905,71090,419,11432
2015-01-16 21:00,38.66,78581,67402,385,10912
2015-01-16 22:00,40.64,77544,64339,347,10796
