Date, Price [EUR/MWh], Grid load forecast [MW], Wind power forecast (DK) [MWh],Wind power forecast (SE) [MWh],Total Wind [MWh],Hydro reservoir [GWh]
2015-01-01 00:00,27.48,42185,2362,3277,5813,469.297619
2015-01-01 01:00,26.68,41207,2411,3328,5907,469.297619
2015-01-01 02:00,26.23,40354,2482,3421,6071,469.297619
2015-01-01 03:00,25.95,39965,2568,3479,6215,469.297619
2015-01-01 04:00,25.91,39928,2657,3489,6321,469.297619
2015-01-01 05:00,26.24,40379,2762,3438,6387,469.297619
2015-01-01 06:00,26.81,40940,2932,3417,6545,469.297619
2015-01-01 07:00,26.82,41796,3138,3424,6770,469.297619
2015-01-01 08:00,26.96,42698,3293,3449,6963,469.297619
2015-01-01 09:00,26.74,43493,3339,3437,7013,469.297619
2015-01-01 10:00,26.75,44634,3305,3473,7033,469.297619
2015-01-01 11:00,26.77,45284,3322,3471,7068,469.297619
2015-01-01 12:00,26.79,45478,3343,3404,7039,469.297619
2015-01-01 13:00,26.59,45607,3322,3441,7074,469.297619
2015-01-01 14:00,27.01,46186,3297,3469,7088,469.297619
2015-01-01 15:00,27.62,47386,3288,3564,7181,469.297619
2015-01-01 16:00,28.29,48682,3366,3597,7288,469.297619
2015-01-01 17:00,28.34,49260,3548,3625,7509,469.297619
2015-01-01 18:00,28.22,48788,3751,3619,7711,469.297619
2015-01-01 19:00,27.91,47788,3943,3643,7927,469.297619
2015-01-01 20:00,27.54,46534,4086,3761,8190,469.297619
2015-01-01 21:00,27.13,45764,4164,3802,8309,469.297619
2015-01-01 22:00,26.92,44310,4225,3899,8466,469.297619
2015-01-01 23:00,25.96,42544,4274,3966,8587,469.297619
2015-01-02 00:00,24.79,41418,3648,4013,8052,469.297619
2015-01-02 01:00,22.23,40382,3138,4012,7516,469.297619
2015-01-02 02:00,20.93,39990,3155,3948,7463,469.297619
2015-01-02 03:00,18.57,40070,3141,3910,7419,469.297619
2015-01-02 04:00,18.59,40793,3148,3886,7441,469.297619
2015-01-02 05:00,24.55,42806,3156,3863,7446,469.297619
2015-01-02 06:00,27.1,45626,3718,3796,7963,469.297619
2015-01-02 07:00,28.34,48926,3903,3772,8147,469.297619
2015-01-02 08:00,28.4,50475,3868,3806,8173,469.297619
2015-01-02 09:00,28.38,50627,3868,3853,8239,469.297619
2015-01-02 10:00,28.34,50896,3864,3853,8247,469.297619
2015-01-02 11:00,28.4,51014,3830,3983,8343,469.297619
2015-01-02 12:00,28.32,50928,3758,4046,8328,469.297619
2015-01-02 13:00,28.22,50858,3747,4165,8407,469.297619
2015-01-02 14:00,28.16,51175,3814,4349,8650,469.297619
2015-01-02 15:00,28.34,52049,3802,4422,8704,469.297619
2015-01-02 16:00,28.67,53061,3788,4474,8739,469.297619
2015-01-02 17:00,28.75,53466,3807,4474,8755,469.297619
2015-01-02 18:00,28.55,52870,3838,4490,8799,469.297619
2015-01-02 19:00,28.44,51831,3880,4502,8853,469.297619
2015-01-02 20:00,27.94,50150,3917,4496,8883,469.297619
2015-01-02 21:00,27.51,48906,3927,4523,8919,469.297619
2015-01-02 22:00,27.2,47360,3920,4536,8923,469.297619
2015-01-02 23:00,26.09,45123,3543,4560,8571,469.297619
2015-01-03 00:00,24.61,43289,3435,4893,8848,469.297619
2015-01-03 01:00,24.11,42189,3466,4907,8890,469.297619
2015-01-03 02:00,23.31,41614,3513,4899,8906,469.297619
2015-01-03 03:00,23.33,41375,3523,4889,8898,469.297619
2015-01-03 04:00,23.44,41649,3490,4884,8852,469.297619
2015-01-03 05:00,24.28,42505,3572,4850,8890,469.297619
2015-01-03 06:00,24.4,43665,3553,4802,8819,469.297619
2015-01-03 07:00,26.36,45539,3844,4757,9079,469.297619
2015-01-03 08:00,26.65,48157,3863,4682,9023,469.297619
2015-01-03 09:00,27.5,49165,3855,4606,8941,469.297619
2015-01-03 10:00,27.72,50134,3839,4516,8835,469.297619
