Date, Price, Grid load forecast, Wind power forecast
2013-01-01 00:00,31.05,42497,2798
2013-01-01 01:00,30.47,41463,2417
2013-01-01 02:00,28.92,40812,2036
2013-01-01 03:00,27.88,40246,1706
2013-01-01 04:00,26.96,40088,1427
2013-01-01 05:00,27.84,40360,1183
2013-01-01 06:00,28.79,41027,1012
2013-01-01 07:00,28.63,41976,908
2013-01-01 08:00,28.44,42705,848
2013-01-01 09:00,28.3,43503,819
2013-01-01 10:00,30.65,44766,816
2013-01-01 11:00,31.55,45691,830
2013-01-01 12:00,32.16,46085,835
2013-01-01 13:00,32.45,46306,821
2013-01-01 14:00,32.63,46918,822
2013-01-01 15:00,33.65,48161,843
2013-01-01 16:00,34.9,49542,881
2013-01-01 17:00,36.22,50210,968
2013-01-01 18:00,36.65,49909,1102
2013-01-01 19:00,36.37,49107,1233
2013-01-01 20:00,35.49,48101,1332
2013-01-01 21:00,34.41,47445,1342
2013-01-01 22:00,34.66,45680,1327
2013-01-01 23:00,32.55,44099,1352
2013-01-02 00:00,33.15,42602,1350
2013-01-02 01:00,32.66,41720,1314
2013-01-02 02:00,31.83,41519,1339
2013-01-02 03:00,31.47,41672,1352
2013-01-02 04:00,32.56,42621,1347
2013-01-02 05:00,34.36,44805,1407
2013-01-02 06:00,36.28,48444,1464
2013-01-02 07:00,38.39,52178,1498
2013-01-02 08:00,39.09,53740,1576
2013-01-02 09:00,38.33,53976,1683
2013-01-02 10:00,38.42,54480,1815
2013-01-02 11:00,38.25,54787,1925
2013-01-02 12:00,37.96,54592,1979
2013-01-02 13:00,37.89,54511,2005
2013-01-02 14:00,37.88,54848,2007
2013-01-02 15:00,38.78,55705,1966
2013-01-02 16:00,39.83,56651,1891
2013-01-02 17:00,39.91,56935,1821
2013-01-02 18:00,39.32,55997,1774
2013-01-02 19:00,38.49,54835,1734
2013-01-02 20:00,37.46,53220,1716
2013-01-02 21:00,36.94,51962,1723
2013-01-02 22:00,36.37,49776,1781
2013-01-02 23:00,34.59,47125,1918
2013-01-03 00:00,33.11,45029,2209
2013-01-03 01:00,32.22,44023,2349
2013-01-03 02:00,31.46,43600,2530
2013-01-03 03:00,31.67,43677,2732
2013-01-03 04:00,32.05,44377,2867
2013-01-03 05:00,33.67,46427,2973
2013-01-03 06:00,34.93,50150,3113
2013-01-03 07:00,35.82,54148,3216
2013-01-03 08:00,36.38,55882,3286
2013-01-03 09:00,36.52,56040,3402
2013-01-03 10:00,36.71,56216,3549
2013-01-03 11:00,36.6,56110,3648
2013-01-03 12:00,36.51,55576,3677
2013-01-03 13:00,36.4,55411,3680
2013-01-03 14:00,36.42,55768,3686
2013-01-03 15:00,36.58,56413,3679
2013-01-03 16:00,36.94,57285,3644
2013-01-03 17:00,36.94,57558,3553
2013-01-03 18:00,36.81,56793,3440
2013-01-03 19:00,36.43,55578,3312
2013-01-03 20:00,35.91,53745,3203
2013-01-03 21:00,35.45,52308,3111
2013-01-03 22:00,34.77,49951,3043
2013-01-03 23:00,32.09,47288,2977
2013-01-04 00:00,31.71,44859,2956
2013-01-04 01:00,30.86,43868,2832
2013-01-04 02:00,30.21,43473,2757
2013-01-04 03:00,30.36,43557,2686
2013-01-04 04:00,30.89,44292,2554
2013-01-04 05:00,32.21,46354,2368
2013-01-04 06:00,34.33,49917,2212
2013-01-04 07:00,35.98,53990,2119
2013-01-04 08:00,36.72,55748,2114
2013-01-04 09:00,36.68,55766,2206
2013-01-04 10:00,36.8,56039,2396
2013-01-04 11:00,36.64,55875,2641
2013-01-04 12:00,36.44,55427,2828
2013-01-04 13:00,36.31,55218,2924
2013-01-04 14:00,35.83,55541,2976
2013-01-04 15:00,36.12,56355,2973
2013-01-04 16:00,36.8,57165,2915
2013-01-04 17:00,37.29,57337,2832
2013-01-04 18:00,37.15,56567,2733
2013-01-04 19:00,36.47,55246,2597
2013-01-04 20:00,36.03,53340,2422
2013-01-04 21:00,35.43,51900,2213
2013-01-04 22:00,35.17,49813,2007
2013-01-04 23:00,32.95,47370,1808
2013-01-05 00:00,33.69,44975,1612
2013-01-05 01:00,32.71,43955,1274
2013-01-05 02:00,32.09,43482,992
2013-01-05 03:00,32.17,43213,763
2013-01-05 04:00,32.73,43443,597
2013-01-05 05:00,33.77,44042,460
2013-01-05 06:00,34.03,45160,354
2013-01-05 07:00,33.98,47109,284
2013-01-05 08:00,34.45,48944,245
2013-01-05 09:00,36.12,50445,227
2013-01-05 10:00,36.69,51662,216
2013-01-05 11:00,36.74,51849,206
2013-01-05 12:00,36.52,51614,194
2013-01-05 13:00,36.12,51186,196
2013-01-05 14:00,36.14,51497,204
2013-01-05 15:00,36.78,52648,221
2013-01-05 16:00,37.71,54211,247
2013-01-05 17:00,38.37,54731,294
2013-01-05 18:00,37.99,54014,358
2013-01-05 19:00,36.94,52452,437
2013-01-05 20:00,36.24,50729,537
2013-01-05 21:00,35.89,49577,638
2013-01-05 22:00,35.7,48007,709
2013-01-05 23:00,35.44,46375,793
2013-01-06 00:00,34.87,46150,558
2013-01-06 01:00,33.05,44946,666
2013-01-06 02:00,32.25,44345,736
2013-01-06 03:00,32.41,44067,737
2013-01-06 04:00,32.45,44134,721
2013-01-06 05:00,32.8,44641,771
2013-01-06 06:00,33.27,45736,881
2013-01-06 07:00,32.97,47134,990
2013-01-06 08:00,33.65,48601,1088
2013-01-06 09:00,34.25,49839,1159
2013-01-06 10:00,35.01,51058,1249
2013-01-06 11:00,35.94,51738,1341
2013-01-06 12:00,35.79,51743,1356
2013-01-06 13:00,35.02,51714,1296
2013-01-06 14:00,34.85,51959,1219
2013-01-06 15:00,35.18,53239,1125
2013-01-06 16:00,35.9,54580,983
2013-01-06 17:00,37.09,55054,817
2013-01-06 18:00,37.65,54611,616
2013-01-06 19:00,37.39,53503,432
2013-01-06 20:00,36.99,52220,318
2013-01-06 21:00,36.1,51122,251
2013-01-06 22:00,36,49213,195
2013-01-06 23:00,34.93,47156,157
2013-01-07 00:00,34.97,46057,113
2013-01-07 01:00,33.71,45168,83
2013-01-07 02:00,33.13,44715,75
2013-01-07 03:00,33.23,44840,78
2013-01-07 04:00,34.1,45736,91
2013-01-07 05:00,35.68,48206,105
2013-01-07 06:00,38.51,52410,114
2013-01-07 07:00,40.66,56801,125
2013-01-07 08:00,42.48,58004,143
2013-01-07 09:00,42.08,57798,175
2013-01-07 10:00,41.97,57959,214
2013-01-07 11:00,41.37,57892,251
2013-01-07 12:00,40.3,57433,265
2013-01-07 13:00,39.96,57153,277
2013-01-07 14:00,40.17,57264,291
2013-01-07 15:00,41.6,58066,321
2013-01-07 16:00,42.37,58814,360
2013-01-07 17:00,41.93,58890,394
2013-01-07 18:00,39.97,57726,425
2013-01-07 19:00,38.9,56264,461
2013-01-07 20:00,37.92,54454,480
2013-01-07 21:00,37.47,52814,469
2013-01-07 22:00,36.49,50312,453
2013-01-07 23:00,35.55,47645,437
2013-01-08 00:00,35.44,45947,541
2013-01-08 01:00,35.01,44792,530
2013-01-08 02:00,34.83,44296,524
2013-01-08 03:00,34.84,44215,511
2013-01-08 04:00,35.21,44864,479
2013-01-08 05:00,36.35,47149,459
2013-01-08 06:00,39.04,51134,451
2013-01-08 07:00,42.55,55286,442
2013-01-08 08:00,44.35,56290,435
2013-01-08 09:00,43.58,56111,429
2013-01-08 10:00,43.15,56339,419
2013-01-08 11:00,42.43,56264,412
2013-01-08 12:00,41.92,55810,383
2013-01-08 13:00,41.94,55676,329
2013-01-08 14:00,41.72,55822,272
2013-01-08 15:00,43.47,56700,219
2013-01-08 16:00,47.47,57601,176
2013-01-08 17:00,47.97,57779,152
2013-01-08 18:00,44.91,56954,134
2013-01-08 19:00,42.78,55745,126
2013-01-08 20:00,39.77,54021,131
2013-01-08 21:00,39.09,52608,148
2013-01-08 22:00,38.23,50189,179
2013-01-08 23:00,36.14,47492,228
2013-01-09 00:00,36.49,45937,186
2013-01-09 01:00,35.92,44833,219
